,City,year,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
40,CHANDLER,2011,239466.0,0.0028438275162235974,8.351916347205867e-06,0.00025890940676338186,0.0007140888476861015,0.0018624773454269082,0.030968905815439353,0.005612487785322342,0.02397417587465444,0.0013822421554625709,35.0
77,CHANDLER,2012,242721.0,0.002587332781259141,1.647982663222383e-05,0.00026367722611558126,0.0006138735420503376,0.0016933021864609984,0.027072235200085695,0.004725590286790183,0.02129193600883319,0.001054708904462325,78.0
113,CHANDLER,2013,248718.0,0.0023118551934319187,8.04123545541537e-06,0.0002090721218407996,0.0006513400718886449,0.0014434017642470588,0.023721644593475342,0.003992473403613731,0.018607418843831165,0.001121752346030444,77.0
148,CHANDLER,2014,252369.0,0.001846502541912834,3.962451806679901e-06,0.00023774710840079408,0.000439832150541469,0.001164960831163891,0.022360115545094685,0.003780179023572626,0.01767649750959904,0.0009034390119230175,97.0
174,CHANDLER,2015,258875.0,0.0018928054080154515,3.86286817962337e-06,0.00030516658619024624,0.00044036697247706424,0.0011434089811685176,0.020832448092708837,0.0029744084983099953,0.016869145340415257,0.0009888942539835828,45.0
210,CHANDLER,2016,265922.0,0.0020983596693767343,1.5042004798399531e-05,0.00046630214875038547,0.0005903986883371815,0.001026616827490768,0.023134603379938477,0.0032490730364542987,0.018407653372041425,0.0014778769714427539,21.0
245,CHANDLER,2018,255986.0,0.002367316962646395,1.5625854538920098e-05,0.0005703436906705835,0.000480495027071793,0.001300852390365098,0.021212097536584033,0.002570453071652356,0.017403295492722258,0.0012383489722094178,15.0
40,CHANDLER,2011,239466.0,0.0028438275162235974,8.351916347205867e-06,0.00025890940676338186,0.0007140888476861015,0.0018624773454269082,0.030968905815439353,0.005612487785322342,0.02397417587465444,0.0013822421554625709,35.0
77,CHANDLER,2012,242721.0,0.002587332781259141,1.647982663222383e-05,0.00026367722611558126,0.0006138735420503376,0.0016933021864609984,0.027072235200085695,0.004725590286790183,0.02129193600883319,0.001054708904462325,78.0
113,CHANDLER,2013,248718.0,0.0023118551934319187,8.04123545541537e-06,0.0002090721218407996,0.0006513400718886449,0.0014434017642470588,0.023721644593475342,0.003992473403613731,0.018607418843831165,0.001121752346030444,77.0
148,CHANDLER,2014,252369.0,0.001846502541912834,3.962451806679901e-06,0.00023774710840079408,0.000439832150541469,0.001164960831163891,0.022360115545094685,0.003780179023572626,0.01767649750959904,0.0009034390119230175,97.0
174,CHANDLER,2015,258875.0,0.0018928054080154515,3.86286817962337e-06,0.00030516658619024624,0.00044036697247706424,0.0011434089811685176,0.020832448092708837,0.0029744084983099953,0.016869145340415257,0.0009888942539835828,45.0
210,CHANDLER,2016,265922.0,0.0020983596693767343,1.5042004798399531e-05,0.00046630214875038547,0.0005903986883371815,0.001026616827490768,0.023134603379938477,0.0032490730364542987,0.018407653372041425,0.0014778769714427539,21.0
245,CHANDLER,2018,255986.0,0.002367316962646395,1.5625854538920098e-05,0.0005703436906705835,0.000480495027071793,0.001300852390365098,0.021212097536584033,0.002570453071652356,0.017403295492722258,0.0012383489722094178,15.0
45,FLAGSTAFF,2011,66802.0,0.003937007874015748,0.0,0.0006736325259722763,0.0005688452441543667,0.0026945301038891053,0.0450285919583246,0.0035178587467441093,0.04050776922846621,0.001002963983114278,24.0
82,FLAGSTAFF,2012,66633.0,0.003931985652754641,0.0,0.00042021220716461814,0.0006753410472288506,0.0028364323983611725,0.04253147839659028,0.0036318340762084853,0.038014197169570635,0.0008854471508111596,23.0
118,FLAGSTAFF,2013,67963.0,0.003619616556067272,1.4713888439297853e-05,0.00036784721098244633,0.0006326972028898077,0.00260435825375572,0.04221414593234554,0.0032370554566455278,0.038167826611538634,0.0008092638641613819,25.0
152,FLAGSTAFF,2014,69490.0,0.0039574039430133835,4.3171679378327816e-05,0.00043171679378327816,0.0006619657504676932,0.002820549719384084,0.043459490574183336,0.003093970355446827,0.039171103755936104,0.0011944164628004028,11.0
178,FLAGSTAFF,2015,69471.0,0.0037425688416749437,0.0,0.000503807344071627,0.0006477522995206633,0.002591009198082653,0.038202991176174234,0.002591009198082653,0.03480589022757698,0.0008060917505146033,19.0
215,FLAGSTAFF,2016,71179.0,0.0037230081906180195,0.0,0.0003652762753059189,0.0004214726253529833,0.002936259289959117,0.04012419393360401,0.0035825173155003584,0.03571278045490946,0.0008288961631942005,24.0
